Student_ID,Gender,Age,Department,Year,Attendance_Percentage,Study_Hours_Per_Day,Internet_Usage_Hours,Assignments_Completed,Sports_Participation,Hostel_Resident,Family_Income_Level,Exam_Score,CGPA
STU10737,Male,21,EEE,2,64.0,5.1,5.7,10,No,Yes,High,100.0,9.91
STU10738,Male,19,ME,1,64.0,5.2,0.7,2,Yes,No,Medium,81.3,7.66
STU10739,Female,25,CE,2,78.0,2.3,6.9,10,No,Yes,High,77.4,7.42
STU10740,Male,20,BBA,3,81.0,1.3,7.1,7,No,No,High,82.6,8.3
STU10741,Female,22,ME,4,89.6,3.2,2.7,4,No,No,Low,85.7,8.03
STU10742,Female,18,CE,2,86.4,4.1,6.8,9,Yes,No,High,82.8,9.24
STU10743,Male,22,BBA,1,80.8,3.0,2.0,4,Yes,Yes,Low,67.3,5.56
STU10744,Male,19,EEE,2,90.1,4.3,6.3,6,No,Yes,Medium,100.0,9.62
STU10745,Female,25,EEE,3,80.1,6.4,2.4,5,Yes,Yes,Medium,100.0,9.72
STU10746,Male,18,CSE,1,67.1,1.5,6.1,8,Yes,No,Medium,65.8,6.09
STU10747,Male,25,CE,3,64.9,0.6,1.1,6,No,Yes,Low,77.1,8.05
STU10748,Male,21,CE,3,92.8,3.4,6.2,2,No,Yes,Medium,89.3,8.6
STU10749,Female,24,ECE,2,57.5,2.5,6.6,10,No,No,High,78.3,8.14
STU10750,Female,18,ECE,3,78.0,2.8,1.1,10,No,Yes,High,82.2,9.01
STU10751,Male,22,BBA,1,100.0,5.4,7.5,4,No,No,Medium,95.6,10.0
STU10752,Female,19,BBA,3,84.6,3.3,6.0,8,No,Yes,Low,90.7,9.15
STU10753,Female,21,ECE,3,77.9,3.5,0.5,10,No,Yes,High,91.8,9.18
STU10754,Female,24,BBA,2,63.2,2.8,3.0,9,Yes,Yes,High,76.1,8.05
STU10755,Female,17,ME,3,96.2,3.4,6.1,1,No,No,Medium,75.4,7.4
STU10756,Female,21,ECE,4,92.1,3.9,5.4,0,Yes,No,Low,74.5,7.21
STU10757,Male,19,CE,2,86.8,7.7,4.2,10,Yes,Yes,High,100.0,9.5
STU10758,Male,20,ME,2,80.0,3.9,5.9,7,No,No,High,97.4,9.89
STU10759,Male,18,BBA,1,85.7,5.2,2.3,7,No,No,Low,88.6,8.33
STU10760,Female,25,EEE,1,78.5,3.8,4.1,1,No,Yes,High,87.1,8.36
STU10761,Female,19,CSE,1,70.3,0.5,2.3,7,Yes,No,Medium,71.8,8.23
STU10762,Male,18,ECE,1,89.6,2.6,4.3,4,No,Yes,High,73.8,7.72
STU10763,Female,25,EEE,4,79.5,3.9,6.0,1,No,Yes,Medium,80.5,8.25
STU10764,Male,23,BBA,2,85.2,4.6,5.6,6,Yes,No,Medium,91.0,8.74
STU10765,Male,22,CE,3,78.8,3.8,4.4,6,No,Yes,Low,97.4,10.0
STU10766,Male,17,CSE,1,84.6,4.9,6.0,2,No,No,High,100.0,9.49
STU10767,Female,21,EEE,1,79.9,1.3,6.2,0,Yes,Yes,Medium,65.6,5.8
STU10768,Female,19,CSE,1,79.1,3.6,7.6,10,No,No,High,92.4,8.96
STU10769,Male,17,ECE,3,80.3,5.5,6.3,3,Yes,Yes,Low,100.0,9.41
STU10770,Male,20,BBA,1,100.0,2.0,5.3,1,Yes,No,Medium,70.4,7.27
STU10771,Male,18,CE,3,88.0,5.2,5.9,3,Yes,Yes,Medium,85.4,8.72
STU10772,Male,18,BBA,2,100.0,5.1,4.5,7,No,No,Low,100.0,10.0
STU10773,Female,19,CSE,2,79.9,1.6,3.4,1,No,Yes,Low,72.7,7.56
STU10774,Female,24,EEE,2,76.9,4.0,5.7,0,Yes,No,Low,71.3,7.4
STU10775,Male,24,ECE,4,69.3,3.7,5.5,10,No,No,Medium,94.9,9.15
STU10776,Male,23,ECE,3,96.0,3.2,4.6,2,Yes,No,Medium,76.4,7.88
STU10777,Female,22,BBA,1,70.9,1.2,3.6,9,No,Yes,Low,83.0,8.46
STU10778,Female,25,EEE,1,98.1,3.1,3.5,6,No,No,Low,91.2,8.81
STU10779,Male,20,EEE,1,69.8,3.3,3.2,5,Yes,Yes,Medium,70.2,6.84
STU10780,Male,17,CSE,1,88.9,1.0,6.5,5,Yes,No,Low,73.1,7.74
STU10781,Male,24,BBA,4,64.1,1.5,6.4,6,Yes,No,Medium,60.5,5.39
STU10782,Female,23,BBA,1,75.6,2.1,6.3,7,No,No,Medium,68.2,6.99
STU10783,Female,23,ME,4,80.2,1.9,1.9,2,No,No,Medium,65.6,6.51
STU10784,Female,19,BBA,3,74.0,4.0,3.3,2,No,Yes,Medium,74.0,7.39
STU10785,Male,20,ECE,2,78.3,4.9,3.5,9,Yes,No,Medium,84.5,8.31
STU10786,Male,25,CSE,1,78.4,3.0,2.8,7,No,Yes,Low,75.2,7.73
STU10787,Female,22,EEE,2,88.1,4.6,7.7,6,No,Yes,High,80.3,7.24
STU10788,Female,21,BBA,3,59.1,4.9,4.8,9,Yes,Yes,High,88.4,8.97
STU10789,Male,19,CSE,3,74.4,3.4,4.7,4,No,No,Medium,84.1,7.89
STU10790,Female,25,BBA,1,92.5,4.1,3.1,3,No,No,Medium,96.8,10.0
STU10791,Female,21,EEE,3,85.6,3.2,5.7,5,No,Yes,Medium,91.6,8.51
STU10792,Male,21,CE,2,92.7,1.8,8.4,8,Yes,No,High,87.0,7.5
STU10793,Female,20,EEE,1,87.6,2.4,4.2,5,Yes,Yes,Medium,82.5,7.4
STU10794,Male,20,EEE,4,69.2,4.0,3.5,7,Yes,Yes,High,87.0,8.67
STU10795,Male,17,EEE,1,86.6,3.3,3.8,0,No,Yes,Medium,73.0,6.52
STU10796,Male,23,BBA,2,81.0,4.6,3.4,5,No,No,Medium,100.0,9.35
STU10797,Male,25,ME,1,100.0,0.7,4.0,1,No,No,Medium,70.4,6.69
STU10798,Male,19,EEE,1,88.0,1.0,2.8,2,Yes,Yes,Medium,68.2,7.08
STU10799,Male,18,ECE,2,85.2,1.2,2.2,5,Yes,Yes,Medium,59.0,5.52
STU10800,Male,19,ECE,1,86.7,3.7,4.0,1,Yes,Yes,Medium,83.7,8.27
STU10801,Female,17,CSE,1,84.7,1.4,4.2,3,Yes,No,High,75.9,7.48
STU10802,Male,22,ME,2,84.4,4.0,3.5,5,Yes,Yes,High,81.9,7.47
STU10803,Male,23,CSE,3,77.3,4.6,6.9,4,Yes,No,Low,88.3,9.03
STU10804,Female,18,ECE,2,85.4,5.8,4.8,5,No,No,Medium,95.0,10.0
STU10805,Female,24,ECE,1,89.5,5.6,5.5,5,Yes,Yes,High,91.6,8.3
STU10806,Female,22,CE,4,90.6,2.5,5.5,7,No,No,Low,87.9,8.35
STU10807,Male,20,EEE,4,89.4,1.0,4.2,8,No,Yes,Medium,70.2,6.38
STU10808,Female,21,ECE,2,95.1,2.6,4.4,4,No,No,Low,96.3,9.53
STU10809,Male,24,BBA,4,91.2,5.0,2.3,5,Yes,Yes,Low,97.5,9.02
STU10810,Male,19,BBA,1,86.3,2.9,5.3,5,No,No,High,80.9,8.72
STU10811,Male,19,CSE,1,68.6,3.5,3.3,5,Yes,No,Medium,88.9,9.6
STU10812,Male,20,CSE,2,68.6,2.7,2.7,1,Yes,No,Medium,75.5,7.9
STU10813,Female,17,EEE,1,77.5,5.9,6.6,3,No,No,Low,85.0,8.97
STU10814,Female,25,EEE,3,80.5,2.0,1.3,0,No,No,Low,62.1,6.27
STU10815,Male,24,CE,1,94.0,3.6,7.4,0,No,Yes,High,58.5,6.39
STU10816,Male,24,ME,2,52.2,5.2,7.3,0,No,Yes,Medium,67.9,6.64
STU10817,Male,22,CSE,3,69.7,6.3,3.6,6,Yes,Yes,Low,100.0,9.73
STU10818,Female,23,EEE,3,78.1,2.5,7.6,0,No,No,High,69.6,7.29
STU10819,Male,22,CSE,4,70.0,4.9,2.2,5,Yes,No,Medium,84.6,8.27
STU10820,Male,25,EEE,1,72.0,2.6,6.0,1,No,No,Medium,72.2,8.29
STU10821,Female,19,ECE,2,75.0,5.6,4.0,5,Yes,No,Medium,88.7,9.4
STU10822,Female,19,CSE,4,70.5,6.1,0.5,5,Yes,No,Low,83.0,8.02
STU10823,Male,19,ECE,4,72.3,2.2,2.7,10,No,No,Medium,77.9,7.71
STU10824,Female,19,CSE,1,93.6,4.5,3.7,2,No,No,Medium,100.0,9.93
STU10825,Female,25,ME,1,86.1,5.2,5.6,7,No,No,Low,96.0,9.22
STU10826,Male,20,CE,2,87.6,3.1,3.0,10,No,Yes,Medium,92.3,9.67
STU10827,Female,23,BBA,4,79.7,4.3,3.5,3,No,No,Medium,87.6,8.32
STU10828,Male,25,BBA,2,90.1,4.4,5.1,6,No,No,Medium,99.9,9.94
STU10829,Female,23,BBA,4,88.5,6.5,5.0,3,No,No,Low,94.4,9.05
STU10830,Male,25,ECE,4,86.0,0.5,3.8,0,Yes,No,High,68.6,6.59
STU10831,Male,19,EEE,4,73.5,3.4,3.4,5,Yes,No,High,79.9,8.37
STU10832,Male,20,BBA,1,75.6,1.6,5.9,4,No,Yes,Low,71.0,7.44
STU10833,Female,24,ME,4,90.6,3.5,3.4,8,No,Yes,High,87.8,8.61
STU10834,Male,22,BBA,4,74.8,2.3,1.6,8,No,Yes,Medium,88.6,9.43
STU10835,Female,21,CSE,4,67.1,3.1,3.2,10,Yes,Yes,Medium,77.9,8.08
STU10836,Male,20,ECE,3,74.6,2.2,5.1,7,No,Yes,High,81.8,8.24
STU10837,Male,24,CSE,1,95.6,3.7,3.7,6,No,No,Low,94.4,9.89
STU10838,Female,17,CSE,3,74.6,5.1,3.0,1,No,No,Low,90.6,9.77
STU10839,Male,25,CSE,1,83.3,2.9,1.5,7,No,No,Low,89.5,9.17
STU10840,Male,17,CE,2,73.8,5.6,3.7,2,Yes,Yes,Medium,79.4,8.08
STU10841,Female,24,CE,3,87.6,5.1,4.5,5,Yes,No,Medium,97.6,8.8
STU10842,Male,20,EEE,2,85.4,6.6,2.0,9,No,No,Medium,100.0,10.0
STU10843,Male,25,ECE,4,65.1,4.1,3.6,6,Yes,No,Low,90.7,9.3
STU10844,Male,21,ME,2,82.7,3.4,1.8,5,Yes,Yes,Medium,81.6,8.32
STU10845,Male,19,ME,2,63.2,1.1,3.7,4,Yes,No,Low,64.9,6.04
STU10846,Female,25,ME,2,74.5,2.3,7.5,3,Yes,Yes,Medium,80.4,7.7
STU10847,Female,25,CSE,2,79.9,3.2,4.3,1,Yes,No,Low,74.0,7.76
STU10848,Male,20,CE,1,98.5,3.4,0.8,8,Yes,Yes,Medium,85.1,8.32
STU10849,Female,20,ECE,3,83.2,7.0,4.7,6,No,No,High,100.0,10.0
STU10850,Male,24,CSE,1,72.3,3.2,6.6,6,Yes,Yes,Low,94.4,8.39
STU10851,Female,18,CE,1,76.8,0.8,1.2,3,Yes,No,Medium,54.6,5.45
STU10852,Male,25,CE,1,89.2,4.5,1.9,4,Yes,No,High,98.7,10.0
STU10853,Male,22,BBA,2,72.5,4.4,4.5,5,No,Yes,High,86.7,8.82
STU10854,Male,25,BBA,1,91.0,2.8,3.8,10,Yes,No,Medium,81.6,8.09
STU10855,Male,24,ECE,3,74.8,6.7,6.4,1,Yes,Yes,Medium,96.8,9.16
STU10856,Male,23,ECE,1,70.8,0.7,3.6,3,Yes,No,Medium,58.0,4.9
STU10857,Male,17,ECE,4,75.1,5.4,5.7,3,No,Yes,Medium,88.8,8.49
STU10858,Female,19,CSE,2,63.8,3.1,7.1,3,No,No,Medium,59.6,6.48
STU10859,Male,18,EEE,4,58.3,2.1,2.3,6,Yes,No,Medium,84.9,8.46
STU10860,Female,21,ECE,3,79.2,7.1,5.5,6,Yes,Yes,Medium,100.0,10.0
STU10861,Male,21,BBA,3,79.3,4.6,3.2,6,Yes,Yes,Low,86.0,9.32
STU10862,Female,21,EEE,3,82.6,3.1,0.5,6,No,No,Low,85.6,8.62
STU10863,Female,20,CSE,3,79.1,3.0,5.0,1,No,No,High,79.9,8.41
STU10864,Female,21,EEE,1,100.0,3.9,5.2,4,Yes,No,High,86.0,9.17
STU10865,Male,19,ME,2,81.7,2.8,0.9,9,No,Yes,Medium,95.2,8.82
STU10866,Male,17,EEE,3,66.2,5.4,3.1,1,Yes,Yes,Low,82.0,7.82
STU10867,Female,21,ECE,4,68.8,3.6,2.8,4,No,No,High,80.5,7.21
STU10868,Male,25,CSE,3,80.0,5.0,5.6,5,No,No,Low,84.6,7.55
STU10869,Female,25,ECE,2,75.6,3.8,0.9,2,No,No,Medium,86.6,8.41
STU10870,Male,20,BBA,4,67.7,4.8,4.2,5,Yes,Yes,Low,92.9,9.16
STU10871,Female,19,ME,4,79.4,5.5,0.5,4,No,No,Medium,95.8,8.64
STU10872,Female,17,BBA,4,79.6,6.0,4.8,3,Yes,No,Medium,100.0,10.0
STU10873,Male,18,ECE,1,96.0,4.2,4.3,9,Yes,Yes,High,89.8,8.74
STU10874,Female,24,ECE,3,70.8,2.2,3.0,8,Yes,No,Medium,81.7,8.89
STU10875,Male,17,ECE,1,75.8,3.2,6.9,10,Yes,Yes,High,100.0,10.0
STU10876,Female,24,CE,4,95.9,3.5,0.5,7,Yes,No,Medium,90.4,9.13
STU10877,Female,23,ME,1,83.3,2.6,4.0,6,No,No,Medium,82.8,8.18
STU10878,Male,24,ECE,1,70.8,2.4,6.4,10,No,Yes,Medium,87.1,8.65
STU10879,Male,22,ECE,1,72.9,3.8,4.3,0,Yes,Yes,Low,77.4,7.93
STU10880,Male,25,BBA,3,67.9,2.0,6.7,8,Yes,No,Medium,64.2,6.87
STU10881,Female,19,BBA,4,80.8,1.7,3.1,8,Yes,No,High,81.6,7.49
STU10882,Male,20,ECE,4,90.3,1.0,3.7,5,Yes,No,Low,76.2,7.2
STU10883,Female,22,CSE,3,96.3,4.2,6.5,6,Yes,No,Low,95.4,9.69
STU10884,Female,24,CE,1,65.1,4.0,5.8,2,No,Yes,Low,89.8,8.96
STU10885,Male,21,BBA,1,88.7,3.0,8.8,4,No,Yes,High,76.1,8.01
STU10886,Male,19,CSE,2,81.6,5.0,4.2,6,No,Yes,Low,100.0,9.66
STU10887,Female,22,CE,2,77.4,2.0,4.4,0,No,No,Low,62.6,6.89
STU10888,Female,20,ECE,2,75.8,4.1,3.1,0,No,No,Low,64.9,6.23
STU10889,Male,25,ME,3,60.8,3.6,3.6,4,Yes,No,Low,90.2,8.86
STU10890,Male,19,EEE,4,86.4,2.4,6.2,8,Yes,No,Medium,93.7,9.92
STU10891,Male,20,EEE,2,66.8,2.8,4.0,6,No,No,High,80.4,8.33
STU10892,Male,23,ECE,4,72.5,2.6,2.4,0,No,Yes,Medium,62.8,7.27
STU10893,Male,23,BBA,4,84.2,3.9,3.2,4,No,Yes,Low,82.7,8.74
STU10894,Female,20,CSE,4,61.8,4.4,3.8,7,Yes,Yes,High,90.4,9.68
STU10895,Female,22,ME,3,66.8,2.9,2.5,7,No,Yes,High,93.0,9.15
STU10896,Female,19,CE,3,92.2,2.4,3.1,1,Yes,Yes,Medium,61.9,6.84
STU10897,Female,22,ECE,3,81.2,3.7,2.0,6,No,No,Low,85.1,8.54
STU10898,Male,18,ME,3,73.4,1.0,3.2,9,No,Yes,High,75.6,6.45
STU10899,Male,24,ME,2,81.3,3.6,6.3,4,Yes,No,Medium,78.4,8.08
STU10900,Male,18,BBA,1,86.7,5.8,4.1,8,No,No,High,97.2,10.0
STU10901,Female,23,CE,1,91.2,2.4,8.9,2,No,No,Medium,87.1,8.16
STU10902,Female,25,ME,1,68.9,3.2,2.5,0,No,No,Medium,63.4,6.52
STU10903,Male,17,BBA,2,69.8,5.0,5.0,3,Yes,No,Medium,86.0,8.66
STU10904,Male,24,CSE,1,86.1,4.6,4.4,6,No,Yes,High,82.8,8.89
STU10905,Female,23,BBA,2,86.4,3.6,5.3,0,Yes,Yes,High,82.2,8.44
STU10906,Female,22,CSE,2,66.6,3.4,2.8,1,No,No,Low,68.4,6.84
STU10907,Male,22,CSE,2,70.1,1.6,3.3,4,Yes,Yes,Medium,52.4,4.57
STU10908,Male,22,ME,1,78.1,4.2,4.8,8,Yes,No,Medium,100.0,9.02
STU10909,Female,25,BBA,4,80.2,1.5,3.0,0,Yes,Yes,High,59.1,6.54
STU10910,Male,18,CSE,1,80.5,0.5,0.5,3,Yes,No,Medium,75.1,7.71
STU10911,Male,17,CE,1,66.4,5.0,6.6,2,Yes,No,High,91.0,8.98
STU10912,Male,22,ME,3,80.4,4.1,5.8,4,Yes,Yes,Medium,83.7,8.65
STU10913,Female,24,BBA,2,72.8,4.8,3.2,4,Yes,No,Low,89.7,8.85
STU10914,Female,19,BBA,4,68.3,2.4,4.4,9,Yes,Yes,Low,84.4,7.44
STU10915,Female,17,EEE,3,79.9,4.2,6.0,1,Yes,Yes,Low,67.8,7.29
STU10916,Female,25,BBA,4,78.9,2.8,6.7,4,Yes,No,Medium,89.2,9.49
STU10917,Female,17,ME,4,88.0,3.0,4.2,8,No,No,High,86.6,8.5
STU10918,Female,19,CE,2,71.4,5.0,2.8,4,No,No,Medium,87.5,8.73
STU10919,Female,24,BBA,1,82.4,3.3,6.9,10,Yes,No,Medium,93.3,9.02
STU10920,Male,19,EEE,2,64.3,2.5,4.2,9,No,Yes,High,81.6,9.08
STU10921,Male,20,ME,2,77.3,1.5,3.7,1,No,Yes,High,70.1,7.61
STU10922,Male,24,CSE,3,84.6,4.0,4.5,6,Yes,Yes,Medium,88.1,8.4
STU10923,Male,17,ECE,2,85.5,5.1,6.3,5,Yes,Yes,Low,88.5,9.15
STU10924,Male,22,ECE,1,85.5,2.3,3.9,6,No,No,Low,77.3,7.29
STU10925,Male,17,CSE,4,88.0,4.5,6.0,7,No,No,Medium,100.0,9.59
STU10926,Male,17,BBA,2,75.5,2.1,3.6,9,No,Yes,Medium,84.1,8.19
STU10927,Female,24,ECE,4,85.0,4.6,5.2,4,No,No,Medium,100.0,9.7
STU10928,Female,20,ECE,2,98.7,3.5,2.1,1,Yes,No,Medium,71.6,6.38
STU10929,Male,17,CSE,4,75.3,3.9,6.1,6,No,Yes,High,81.4,8.8
STU10930,Male,23,BBA,2,93.8,2.5,2.6,6,Yes,Yes,High,79.4,8.05
STU10931,Female,21,BBA,3,88.8,4.0,4.9,7,Yes,No,High,91.1,9.89
STU10932,Male,21,CSE,4,77.3,2.6,1.0,6,No,No,High,74.7,7.39
STU10933,Male,17,BBA,2,78.2,2.9,4.0,9,No,Yes,Low,87.1,7.98
STU10934,Female,22,BBA,2,81.2,1.2,4.4,6,Yes,No,Low,75.8,8.09
STU10935,Male,25,ME,3,88.2,2.3,2.6,8,Yes,No,Medium,93.2,9.45
STU10936,Female,25,ME,3,84.0,2.7,3.8,7,No,Yes,Medium,73.6,7.23
STU10937,Male,24,CSE,3,75.3,4.0,4.5,1,No,Yes,Medium,84.5,9.05
STU10938,Female,21,CE,4,59.2,4.4,5.1,1,Yes,No,Low,81.7,7.5
STU10939,Female,17,ECE,4,86.7,2.6,4.2,6,Yes,No,High,74.5,7.94
STU10940,Female,25,ME,3,60.7,3.3,6.7,9,Yes,No,Medium,80.3,8.39
STU10941,Male,17,ECE,1,66.3,6.0,6.3,10,No,Yes,High,100.0,10.0
STU10942,Female,24,EEE,1,76.0,3.7,3.9,9,No,Yes,Medium,86.7,7.93
STU10943,Male,21,CSE,2,67.9,2.7,1.3,2,Yes,Yes,Low,82.0,8.67
STU10944,Male,19,CE,1,83.2,1.0,3.0,0,No,Yes,Low,61.6,6.53
STU10945,Male,23,EEE,2,77.0,2.2,0.5,8,Yes,No,Low,72.7,7.4
STU10946,Male,23,EEE,4,87.9,2.2,3.6,2,Yes,Yes,Low,63.6,6.33
STU10947,Female,25,BBA,4,63.9,6.5,6.8,0,No,Yes,Medium,73.4,6.78
STU10948,Female,23,EEE,1,73.4,2.2,5.6,5,No,Yes,Low,74.8,6.92
STU10949,Male,19,CSE,4,80.0,3.6,4.2,3,Yes,No,High,79.5,7.56
STU10950,Male,17,ME,3,80.4,4.1,2.5,0,No,No,Low,80.7,7.28
STU10951,Female,24,CSE,3,86.9,5.2,4.2,3,No,No,Low,99.5,9.18
STU10952,Male,19,ME,1,70.9,3.5,8.3,7,Yes,No,High,85.8,8.36
STU10953,Female,24,EEE,1,75.3,2.7,7.0,10,Yes,No,Medium,98.7,9.2
STU10954,Male,24,EEE,2,85.1,2.6,3.7,6,Yes,Yes,Medium,76.2,7.5
STU10955,Male,21,CE,4,58.0,4.0,1.0,0,No,No,Medium,59.8,6.01
STU10956,Female,17,ME,2,83.8,2.5,8.4,9,Yes,Yes,Low,93.6,8.64
STU10957,Male,23,EEE,2,87.6,1.8,2.5,8,No,No,Medium,88.3,9.24
STU10958,Female,21,BBA,3,66.7,2.7,5.1,5,No,No,Medium,78.9,8.4
STU10959,Male,24,ECE,3,76.8,1.5,0.9,1,No,No,Low,70.3,5.94
STU10960,Male,25,CE,3,94.9,6.3,3.4,2,No,Yes,Medium,76.0,8.28
STU10961,Male,23,CSE,3,86.6,4.4,0.9,6,Yes,No,High,87.6,9.04
STU10962,Female,23,CE,2,84.5,5.9,1.7,2,No,No,Low,99.4,9.99
STU10963,Male,17,ECE,3,89.9,4.2,2.2,2,No,No,High,80.9,8.82
STU10964,Male,20,ME,4,98.0,5.8,5.0,4,No,Yes,Low,100.0,10.0
STU10965,Male,18,CSE,3,80.2,4.1,3.8,2,No,Yes,High,100.0,9.61
STU10966,Male,18,CSE,3,75.9,4.6,9.4,2,No,Yes,High,90.4,8.29
STU10967,Female,18,ME,3,89.9,0.5,6.3,10,Yes,Yes,Low,77.6,7.7
STU10968,Female,20,CE,1,78.1,2.1,6.3,4,Yes,No,High,60.0,5.94
STU10969,Male,17,EEE,4,70.7,3.6,5.0,4,Yes,No,Medium,85.9,7.74
STU10970,Female,20,CE,4,74.6,3.6,4.6,8,No,Yes,Low,72.7,7.09
STU10971,Male,18,ECE,2,83.1,3.4,6.4,0,No,No,Medium,67.3,7.5
STU10972,Male,21,BBA,2,75.5,4.2,0.5,0,Yes,Yes,High,70.2,7.27
STU10973,Male,19,EEE,3,76.3,4.2,2.8,10,No,Yes,High,95.3,8.86
STU10974,Female,24,CE,1,69.7,4.8,1.3,8,Yes,No,Low,96.1,9.76
STU10975,Female,20,BBA,2,94.4,4.5,0.5,4,Yes,No,Medium,82.5,8.6
STU10976,Female,17,BBA,2,76.6,5.3,2.5,3,Yes,No,Low,96.2,10.0
STU10977,Female,17,ME,3,72.9,5.3,1.7,1,No,Yes,Medium,94.4,9.73
STU10978,Female,19,ECE,3,73.9,3.8,6.4,8,No,Yes,Medium,87.8,9.36
STU10979,Female,25,ECE,2,88.0,6.6,4.2,5,No,Yes,Medium,100.0,10.0
STU10980,Female,23,ECE,2,85.7,5.5,0.5,8,Yes,Yes,Medium,95.1,9.39
STU10981,Female,18,EEE,4,75.0,2.3,4.6,4,No,Yes,High,66.2,6.79
STU10982,Female,25,CSE,1,80.3,4.1,2.0,3,No,No,Medium,91.2,9.01
STU10983,Male,18,EEE,4,82.8,0.7,4.1,6,Yes,Yes,High,74.2,7.62
STU10984,Female,19,CE,2,73.0,1.0,4.8,4,No,Yes,Medium,70.7,7.44
STU10985,Female,18,BBA,4,64.6,2.8,2.5,7,No,No,High,95.6,9.52
STU10986,Female,19,BBA,4,85.2,2.2,4.4,7,No,No,Low,87.4,8.89
STU10987,Female,22,CSE,2,73.5,2.8,4.8,1,Yes,No,Medium,89.9,8.75
STU10988,Female,25,CE,3,84.4,4.0,3.7,4,No,No,Medium,85.6,8.41
STU10989,Female,25,CSE,2,83.2,5.3,2.6,9,No,Yes,High,100.0,9.97
STU10990,Female,23,BBA,3,80.6,5.3,4.0,7,No,Yes,Low,96.2,9.34
STU10991,Female,19,EEE,2,75.7,4.1,3.7,2,Yes,No,Medium,70.4,7.7
STU10992,Female,20,ECE,2,73.7,1.9,4.6,6,No,No,Medium,82.9,8.59
STU10993,Female,22,BBA,2,68.6,2.7,3.5,2,Yes,No,Medium,70.9,7.46
STU10994,Female,21,ME,1,73.9,4.5,1.6,5,Yes,Yes,Medium,100.0,10.0
STU10995,Male,18,ECE,3,85.7,2.3,3.7,1,No,Yes,Medium,75.2,7.6
STU10996,Male,22,BBA,1,94.0,1.6,4.7,5,No,No,Medium,84.4,7.83
STU10997,Female,19,EEE,2,92.5,4.2,4.4,5,No,Yes,Low,77.0,8.26
STU10998,Female,24,CSE,4,81.5,3.4,3.8,7,No,No,Low,93.1,10.0
STU10999,Male,18,ECE,1,94.0,3.2,3.0,4,No,No,High,82.2,8.55
STU11000,Female,17,EEE,3,76.9,5.2,2.9,0,Yes,No,Medium,75.2,7.13
STU11001,Male,25,CE,2,67.1,5.1,3.1,7,No,Yes,Medium,100.0,10.0
STU11002,Male,19,ME,1,99.2,6.2,6.2,8,No,Yes,Medium,96.5,9.25
STU11003,Male,17,ECE,4,85.3,2.5,2.1,0,No,Yes,Low,72.4,7.0
STU11004,Male,23,CSE,1,64.7,4.1,4.2,4,No,No,Medium,76.5,6.44
STU11005,Male,21,CE,3,95.6,3.5,1.5,5,No,No,Low,88.8,9.56
STU11006,Female,21,EEE,1,72.6,4.0,5.5,3,No,Yes,High,78.3,7.99
STU11007,Male,17,ME,4,74.7,1.8,2.9,10,Yes,Yes,High,82.5,8.54
STU11008,Female,25,CSE,4,90.2,1.4,2.3,1,Yes,Yes,High,67.5,7.14
STU11009,Female,23,EEE,3,93.6,3.4,4.4,4,Yes,No,Medium,76.0,7.84
STU11010,Male,24,EEE,4,70.0,2.2,0.5,3,No,No,Medium,79.2,8.41
STU11011,Male,25,ECE,2,94.7,4.9,1.4,6,No,Yes,High,100.0,10.0
STU11012,Female,22,ECE,4,88.7,1.2,4.7,5,No,No,Medium,65.8,6.56
STU11013,Male,21,CSE,2,72.0,1.4,6.0,2,Yes,No,Medium,76.7,6.84
STU11014,Male,22,BBA,1,77.5,2.9,4.9,8,No,No,Medium,92.1,8.79
STU11015,Female,18,BBA,2,95.2,1.2,4.3,3,No,No,Medium,71.9,7.5
STU11016,Female,20,EEE,2,64.4,6.0,8.8,10,Yes,No,Medium,91.5,8.64
STU11017,Male,19,ECE,1,93.8,3.2,5.0,4,No,Yes,Medium,77.6,7.73
STU11018,Female,23,ME,4,88.5,2.6,1.9,2,Yes,No,Medium,59.6,7.21
STU11019,Male,25,ME,2,85.1,4.2,6.0,7,Yes,No,High,93.5,9.87
STU11020,Male,21,EEE,4,81.3,4.8,2.7,10,Yes,Yes,Medium,100.0,8.99
STU11021,Male,22,ECE,1,99.7,3.8,2.6,6,Yes,Yes,Medium,85.2,9.69
STU11022,Female,18,CSE,3,100.0,3.4,1.2,10,No,Yes,Low,97.0,10.0
STU11023,Female,19,CSE,4,73.8,2.0,3.2,10,Yes,Yes,High,92.7,9.6
STU11024,Female,19,CSE,4,86.1,4.4,1.5,6,No,Yes,Low,86.2,8.69
STU11025,Female,25,ME,3,98.7,5.6,5.1,7,Yes,No,Medium,100.0,9.31
STU11026,Female,23,ECE,3,72.1,3.2,3.7,6,No,Yes,High,99.3,9.74
STU11027,Male,24,ECE,1,82.4,2.2,1.3,2,No,Yes,Medium,77.4,6.75
STU11028,Male,25,ME,4,90.0,3.8,3.8,2,No,No,Medium,72.8,7.76
STU11029,Male,22,CSE,4,59.9,3.5,6.0,1,Yes,No,Low,71.3,7.22
STU11030,Male,20,CSE,1,88.3,1.7,7.2,0,No,Yes,High,72.0,6.83
STU11031,Female,17,EEE,4,69.1,2.7,0.5,4,No,Yes,Low,79.3,8.44
STU11032,Male,24,BBA,2,81.9,6.2,2.4,3,Yes,No,Low,84.8,8.65
STU11033,Female,23,CE,2,91.4,1.5,1.4,10,Yes,No,Medium,89.3,9.75
